employee_id,first_name,last_name,email,hire_date,job_title,department_id,manager_id,employment_status,location,salary
18,Nicholas,Arnold,nicholas.arnold@horizontech.com,2022-07-25,Engineering Manager,1.0,7.0,Active,"Austin, TX",117618
19,Maria,Montgomery,maria.montgomery@horizontech.com,2021-04-08,Senior Backend Developer,1.0,18.0,Active,"San Francisco, CA",83946
20,Michelle,Ray,michelle.ray@horizontech.com,2019-09-14,Mid-level Frontend Developer,1.0,18.0,Leave,"Austin, TX",62938
21,Janet,Williams,janet.williams@horizontech.com,2021-08-03,Mid-level Frontend Developer,1.0,18.0,Active,"Austin, TX",77328
22,Jeremy,Roberts,jeremy.roberts@horizontech.com,2024-10-10,Mid-level QA Engineer,1.0,18.0,Active,"Austin, TX",68871
23,Christopher,Hall,christopher.hall@horizontech.com,2020-11-09,Junior Backend Developer,1.0,18.0,Active,"Seattle, WA",52781
24,Craig,Ramirez,craig.ramirez@horizontech.com,2019-06-08,Senior Software Engineer,1.0,18.0,Active,"Austin, TX",80501
25,Cynthia,Diaz,cynthia.diaz@horizontech.com,2020-02-16,Mid-level QA Engineer,1.0,18.0,Active,"Austin, TX",67278
26,Mitchell,Clark,mitchell.clark@horizontech.com,2019-02-07,Mid-level Software Engineer,1.0,18.0,Active,"Austin, TX",70554
27,Joseph,Zuniga,joseph.zuniga@horizontech.com,2020-02-19,Senior Software Engineer,1.0,18.0,Active,"Austin, TX",82326
28,Deborah,Lynch,deborah.lynch@horizontech.com,2024-07-19,Mid-level Backend Developer,1.0,18.0,Active,"Austin, TX",71878
29,George,Daniel,george.daniel@horizontech.com,2020-11-14,Director of Engineering,1.0,7.0,Active,"Austin, TX",157992
30,Frank,Gray,frank.gray@horizontech.com,2021-04-21,Junior QA Engineer,1.0,18.0,Active,"Boston, MA",51284
31,Veronica,Bowman,veronica.bowman@horizontech.com,2021-10-30,Junior Frontend Developer,1.0,18.0,Active,"Austin, TX",49992
32,Angela,Cohen,angela.cohen@horizontech.com,2023-06-13,Mid-level Backend Developer,1.0,18.0,Active,"Austin, TX",79261
33,Megan,Parsons,megan.parsons@horizontech.com,2024-05-06,Mid-level Frontend Developer,1.0,18.0,Active,"Austin, TX",69932
34,Jeremy,Johnson,jeremy.johnson@horizontech.com,2022-10-12,Junior Frontend Developer,1.0,18.0,Active,"Seattle, WA",48092
35,Leslie,Adams,leslie.adams@horizontech.com,2024-01-07,Senior Engineering Specialist,1.0,18.0,Active,"New York, NY",95483
36,Jason,Hahn,jason.hahn@horizontech.com,2020-01-07,Engineering Team Lead,1.0,18.0,Active,"New York, NY",91861
37,Nancy,Edwards,nancy.edwards@horizontech.com,2024-12-27,Senior DevOps Engineer,1.0,18.0,Active,"Austin, TX",91392
38,Diana,Foster,diana.foster@horizontech.com,2024-03-27,Mid-level DevOps Engineer,1.0,18.0,Active,"Austin, TX",60201
39,Robin,Ellis,robin.ellis@horizontech.com,2019-08-03,VP of Engineering,1.0,18.0,Active,"Austin, TX",213436
40,Joseph,Wright,joseph.wright@horizontech.com,2022-02-12,Mid-level Software Engineer,1.0,18.0,Active,"Austin, TX",70984
41,Anna,Baker,anna.baker@horizontech.com,2018-05-04,Mid-level DevOps Engineer,1.0,18.0,Leave,Remote,73692
42,Brenda,Hurst,brenda.hurst@horizontech.com,2023-12-01,Mid-level Software Engineer,1.0,18.0,Active,"Austin, TX",70856
43,Reginald,Robinson,reginald.robinson@horizontech.com,2021-08-25,Engineering Team Lead,1.0,18.0,Active,"Austin, TX",99229
44,Whitney,Hicks,whitney.hicks@horizontech.com,2020-01-07,Junior Engineering Specialist,1.0,18.0,Active,"Austin, TX",51245
45,Christopher,Williams,christopher.williams@horizontech.com,2018-04-23,Senior Frontend Developer,1.0,18.0,Active,"Austin, TX",80143
46,Daniel,Burton,daniel.burton@horizontech.com,2022-05-16,Engineering Team Lead,1.0,18.0,Active,"Austin, TX",95201
47,Laura,Henderson,laura.henderson@horizontech.com,2020-12-26,Junior Software Engineer,1.0,18.0,Active,Remote,50580
48,Bryan,James,bryan.james@horizontech.com,2019-04-06,Engineering Manager,1.0,29.0,Active,"Austin, TX",123809
49,Wendy,Rice,wendy.rice@horizontech.com,2019-09-18,Mid-level Frontend Developer,1.0,18.0,Active,"Austin, TX",71718
50,Tasha,Valencia,tasha.valencia@horizontech.com,2020-02-26,Mid-level Frontend Developer,1.0,18.0,Active,Remote,61184
51,Alexander,Le,alexander.le@horizontech.com,2020-09-04,Senior DevOps Engineer,1.0,18.0,Active,"New York, NY",92160
52,Erin,Herrera,erin.herrera@horizontech.com,2021-10-18,Junior Engineering Specialist,1.0,18.0,Active,"Austin, TX",50895
53,Joseph,Davidson,joseph.davidson@horizontech.com,2023-03-20,Mid-level QA Engineer,1.0,18.0,Active,"Austin, TX",66615
54,Daniel,Graham,daniel.graham@horizontech.com,2020-10-27,Senior Software Engineer,1.0,18.0,Active,"Austin, TX",94077
55,Shawn,Mckay,shawn.mckay@horizontech.com,2020-11-18,Mid-level Frontend Developer,1.0,18.0,Active,"Austin, TX",75154
56,Nancy,Baker,nancy.baker@horizontech.com,2018-12-18,Mid-level Backend Developer,1.0,18.0,Active,"Boston, MA",74656
57,Vincent,White,vincent.white@horizontech.com,2019-02-05,Senior QA Engineer,1.0,18.0,Active,"Austin, TX",84405
58,Rita,Harrell,rita.harrell@horizontech.com,2020-09-14,Junior DevOps Engineer,1.0,18.0,Active,"San Francisco, CA",51211
59,Kenneth,Fowler,kenneth.fowler@horizontech.com,2024-10-06,Junior Frontend Developer,1.0,18.0,Active,"New York, NY",53880
60,Chelsea,Hernandez,chelsea.hernandez@horizontech.com,2020-06-08,Senior DevOps Engineer,1.0,18.0,Active,"Austin, TX",96503
61,Kathryn,Ryan,kathryn.ryan@horizontech.com,2023-01-19,Mid-level QA Engineer,1.0,18.0,Active,Remote,67604
62,Kimberly,Moreno,kimberly.moreno@horizontech.com,2019-05-29,Director of Engineering,1.0,7.0,Active,"San Francisco, CA",162833
63,Aaron,Nguyen,aaron.nguyen@horizontech.com,2021-02-02,Engineering Team Lead,1.0,18.0,Active,"Austin, TX",92624
64,Andrew,Hickman,andrew.hickman@horizontech.com,2023-01-13,Senior Engineering Specialist,1.0,18.0,Active,"Austin, TX",82025
65,Natasha,Decker,natasha.decker@horizontech.com,2023-04-10,Engineering Manager,1.0,29.0,Active,Remote,121771
66,Kyle,Brown,kyle.brown@horizontech.com,2018-11-14,Engineering Team Lead,1.0,18.0,Active,"Austin, TX",109041
67,Natalie,Arroyo,natalie.arroyo@horizontech.com,2019-05-08,VP of Engineering,1.0,18.0,Active,"Austin, TX",238559
68,Christopher,Tucker,christopher.tucker@horizontech.com,2022-11-10,Mid-level Engineering Specialist,1.0,18.0,Active,"Austin, TX",75017
69,Chad,Hodges,chad.hodges@horizontech.com,2018-12-17,Junior QA Engineer,1.0,18.0,Active,"Austin, TX",54006
70,Katie,Anderson,katie.anderson@horizontech.com,2021-04-11,Junior QA Engineer,1.0,18.0,Active,"New York, NY",49812
71,Thomas,Pierce,thomas.pierce@horizontech.com,2023-01-17,Junior Software Engineer,1.0,18.0,Active,"San Francisco, CA",54005
72,Joseph,Brennan,joseph.brennan@horizontech.com,2023-10-05,Mid-level Frontend Developer,1.0,18.0,Active,"Austin, TX",77690
73,Rodney,Lewis,rodney.lewis@horizontech.com,2024-10-18,Director of Engineering,1.0,7.0,Active,"Austin, TX",164582
74,Amber,Blair,amber.blair@horizontech.com,2018-12-11,Senior QA Engineer,1.0,18.0,Active,"Austin, TX",100430
75,James,Collins,james.collins@horizontech.com,2020-01-25,Senior Frontend Developer,1.0,18.0,Active,"Austin, TX",72535
76,Wanda,Santos,wanda.santos@horizontech.com,2019-01-26,Mid-level Engineering Specialist,1.0,18.0,Active,"Austin, TX",74109
77,Samuel,Holmes,samuel.holmes@horizontech.com,2022-10-30,Senior Software Engineer,1.0,18.0,Active,Remote,90580
78,David,Walker,david.walker@horizontech.com,2024-10-17,Senior Software Engineer,1.0,18.0,Active,"Austin, TX",88006
79,Matthew,Chapman,matthew.chapman@horizontech.com,2024-11-05,Senior DevOps Engineer,1.0,18.0,Active,"Austin, TX",90611
80,Jerry,Robinson,jerry.robinson@horizontech.com,2020-08-04,Mid-level Software Engineer,1.0,18.0,Active,"Austin, TX",60062
81,Chad,Welch,chad.welch@horizontech.com,2022-09-28,Mid-level Software Engineer,1.0,18.0,Active,"Austin, TX",68901
82,Jeremy,Whitehead,jeremy.whitehead@horizontech.com,2021-11-06,Mid-level DevOps Engineer,1.0,18.0,Active,"Boston, MA",71785
83,Michele,Jones,michele.jones@horizontech.com,2023-06-11,VP of Engineering,1.0,18.0,Active,"Austin, TX",269557
84,John,Caldwell,john.caldwell@horizontech.com,2019-02-15,Engineering Team Lead,1.0,18.0,Active,"Austin, TX",96544
85,Jason,Anderson,jason.anderson@horizontech.com,2022-03-20,Senior Engineering Specialist,1.0,18.0,Active,Remote,84610
86,Selena,Duncan,selena.duncan@horizontech.com,2021-07-01,Mid-level QA Engineer,1.0,18.0,Active,"Austin, TX",67491
87,Thomas,Mueller,thomas.mueller@horizontech.com,2025-02-28,Junior Software Engineer,1.0,18.0,Leave,"Austin, TX",56314
88,Lindsey,Lee,lindsey.lee@horizontech.com,2018-05-23,Senior Frontend Developer,1.0,18.0,Active,"Austin, TX",92191
89,Collin,Jordan,collin.jordan@horizontech.com,2019-06-19,Junior Backend Developer,1.0,18.0,Active,"Austin, TX",50292
90,Rodney,Owens,rodney.owens@horizontech.com,2019-07-03,Engineering Team Lead,1.0,18.0,Active,"Austin, TX",103421
91,Jessica,Nunez,jessica.nunez@horizontech.com,2025-01-31,Junior Software Engineer,1.0,18.0,Active,"Austin, TX",52904
92,Tracey,Garcia,tracey.garcia@horizontech.com,2021-04-06,Junior Backend Developer,1.0,18.0,Active,"Austin, TX",56536
93,Richard,Morgan,richard.morgan@horizontech.com,2019-05-04,Director of Engineering,1.0,7.0,Active,"Austin, TX",156809
94,Michelle,Wright,michelle.wright@horizontech.com,2018-05-05,Director of Engineering,1.0,7.0,Active,"Austin, TX",161177
95,James,West,james.west@horizontech.com,2020-02-11,Mid-level Software Engineer,1.0,18.0,Active,"Austin, TX",68039
96,Robert,Ramirez,robert.ramirez@horizontech.com,2024-08-04,Senior DevOps Engineer,1.0,18.0,Active,"Austin, TX",80243
97,John,Leblanc,john.leblanc@horizontech.com,2024-06-02,Senior Engineering Specialist,1.0,18.0,Active,"Austin, TX",91974
98,Scott,Callahan,scott.callahan@horizontech.com,2019-12-18,Mid-level Frontend Developer,1.0,18.0,Active,"Austin, TX",71305
99,Andrea,Williams,andrea.williams@horizontech.com,2018-10-01,Mid-level QA Engineer,1.0,18.0,Active,"Austin, TX",70025
100,Yvette,Huff,yvette.huff@horizontech.com,2019-06-16,Senior Software Engineer,1.0,18.0,Active,"Austin, TX",88436
101,Tanya,House,tanya.house@horizontech.com,2025-04-06,Senior DevOps Engineer,1.0,18.0,Active,"Boston, MA",80564
102,Melinda,Martin,melinda.martin@horizontech.com,2020-02-15,Senior Software Engineer,1.0,18.0,Leave,"Austin, TX",87195
103,Todd,Lewis,todd.lewis@horizontech.com,2018-07-31,Senior DevOps Engineer,1.0,18.0,Active,"Boston, MA",87715
104,Richard,Brown,richard.brown@horizontech.com,2021-01-31,Senior DevOps Engineer,1.0,18.0,Active,"New York, NY",84651
105,Nicholas,Galloway,nicholas.galloway@horizontech.com,2022-08-04,Engineering Team Lead,1.0,18.0,Active,Remote,98924
106,Joseph,Bowers,joseph.bowers@horizontech.com,2020-07-16,Senior Software Engineer,1.0,18.0,Active,"Austin, TX",92693
107,Spencer,Henderson,spencer.henderson@horizontech.com,2020-11-08,Junior Software Engineer,1.0,18.0,Active,"Austin, TX",60359
108,Susan,Cowan,susan.cowan@horizontech.com,2021-12-25,Junior QA Engineer,1.0,18.0,Active,"Austin, TX",53227
109,Angela,Higgins,angela.higgins@horizontech.com,2022-03-29,Mid-level Software Engineer,1.0,18.0,Active,"Austin, TX",71287
110,Eric,Phillips,eric.phillips@horizontech.com,2022-01-06,Mid-level Frontend Developer,1.0,18.0,Active,"Austin, TX",69627
111,Tanya,Riley,tanya.riley@horizontech.com,2020-04-21,Mid-level Software Engineer,1.0,18.0,Active,"Seattle, WA",60406
112,Amy,Adkins,amy.adkins@horizontech.com,2019-07-09,Director of Engineering,1.0,7.0,Active,"Austin, TX",164690
113,Brian,Silva,brian.silva@horizontech.com,2023-03-13,Senior QA Engineer,1.0,18.0,Active,"Austin, TX",90401
114,Wesley,Farrell,wesley.farrell@horizontech.com,2024-10-07,Junior QA Engineer,1.0,18.0,Active,"Austin, TX",62763
115,Eric,Yu,eric.yu@horizontech.com,2018-04-27,Senior DevOps Engineer,1.0,18.0,Active,"Austin, TX",88717
116,Christopher,Lopez,christopher.lopez@horizontech.com,2020-07-06,Junior Backend Developer,1.0,18.0,Active,"Austin, TX",53756
117,Brooke,Leonard,brooke.leonard@horizontech.com,2022-01-02,Junior Backend Developer,1.0,18.0,Active,"Austin, TX",52355
118,Joe,Wilson,joe.wilson@horizontech.com,2021-09-02,Engineering Team Lead,1.0,18.0,Active,"Austin, TX",92208
119,Pamela,Sanchez,pamela.sanchez@horizontech.com,2022-10-25,Senior QA Engineer,1.0,18.0,Active,"Austin, TX",97618
120,Brooke,Harvey,brooke.harvey@horizontech.com,2023-01-07,Junior Engineering Specialist,1.0,18.0,Active,"Austin, TX",55633
121,Robert,Silva,robert.silva@horizontech.com,2025-03-16,Mid-level Engineering Specialist,1.0,18.0,Active,"Austin, TX",73955
122,Alexandra,Donovan,alexandra.donovan@horizontech.com,2021-09-16,VP of Engineering,1.0,18.0,Active,"Austin, TX",221812
123,James,Moran,james.moran@horizontech.com,2025-02-07,Junior Frontend Developer,1.0,18.0,Active,"Austin, TX",58344
124,John,Foster,john.foster@horizontech.com,2020-09-12,Mid-level DevOps Engineer,1.0,18.0,Active,"New York, NY",62990
125,Emily,Evans,emily.evans@horizontech.com,2019-04-03,Mid-level Engineering Specialist,1.0,18.0,Active,"Austin, TX",72934
126,Leslie,Walton,leslie.walton@horizontech.com,2022-01-22,Senior Backend Developer,1.0,18.0,Active,"Seattle, WA",104603
127,Charles,Ellis,charles.ellis@horizontech.com,2021-10-13,Senior Software Engineer,1.0,18.0,Active,"Austin, TX",83396
128,Yolanda,Ferrell,yolanda.ferrell@horizontech.com,2018-10-27,VP of Engineering,1.0,18.0,Active,"Austin, TX",228674
129,Charles,Lewis,charles.lewis@horizontech.com,2023-05-30,Engineering Manager,1.0,29.0,Active,"Austin, TX",115830
130,Joseph,Mahoney,joseph.mahoney@horizontech.com,2022-08-10,Junior Engineering Specialist,1.0,18.0,Active,"Austin, TX",50402
131,Nicole,Suarez,nicole.suarez@horizontech.com,2018-05-13,Mid-level Backend Developer,1.0,18.0,Active,Remote,62246
132,Mike,Moore,mike.moore@horizontech.com,2023-01-26,Engineering Team Lead,1.0,18.0,Active,"Austin, TX",100457
133,Martha,Warner,martha.warner@horizontech.com,2023-07-06,Senior Frontend Developer,1.0,18.0,Active,"Austin, TX",82917
134,Cheryl,Archer,cheryl.archer@horizontech.com,2023-06-03,Engineering Team Lead,1.0,18.0,Active,"Austin, TX",103157
135,Destiny,Smith,destiny.smith@horizontech.com,2024-07-27,Senior Frontend Developer,1.0,18.0,Active,"Seattle, WA",83870
136,Lisa,Evans,lisa.evans@horizontech.com,2025-03-04,Mid-level DevOps Engineer,1.0,18.0,Active,Remote,77749
137,Elizabeth,Mcmillan,elizabeth.mcmillan@horizontech.com,2024-06-12,Senior DevOps Engineer,1.0,18.0,Active,"Austin, TX",84778
138,Dennis,Wilson,dennis.wilson@horizontech.com,2023-05-08,Junior DevOps Engineer,1.0,18.0,Active,"Austin, TX",51158
139,Daniel,Tran,daniel.tran@horizontech.com,2021-05-30,Mid-level Backend Developer,1.0,18.0,Active,"Austin, TX",74067
140,Joseph,Jacobs,joseph.jacobs@horizontech.com,2020-12-25,Mid-level Backend Developer,1.0,18.0,Active,"Austin, TX",63845
141,Jennifer,Harris,jennifer.harris@horizontech.com,2020-12-06,Junior Software Engineer,1.0,18.0,Active,"Austin, TX",53447
142,Cynthia,Baker,cynthia.baker@horizontech.com,2019-03-17,Mid-level Frontend Developer,1.0,18.0,Active,"Austin, TX",76535
143,Tracy,Whitehead,tracy.whitehead@horizontech.com,2020-09-13,Senior Engineering Specialist,1.0,18.0,Active,"Austin, TX",79283
144,Meghan,Davis,meghan.davis@horizontech.com,2023-07-12,Mid-level Frontend Developer,1.0,18.0,Active,"Austin, TX",70923
145,Rodney,Hill,rodney.hill@horizontech.com,2022-09-02,Senior DevOps Engineer,1.0,18.0,Active,"Austin, TX",91732
146,Adam,Wise,adam.wise@horizontech.com,2024-10-04,VP of Engineering,1.0,18.0,Active,"Austin, TX",255636
147,Dana,Green,dana.green@horizontech.com,2021-08-26,Mid-level QA Engineer,1.0,18.0,Active,Remote,63815
148,Joyce,Arnold,joyce.arnold@horizontech.com,2024-05-03,Senior DevOps Engineer,1.0,18.0,Active,"Austin, TX",81196
149,Ronald,Smith,ronald.smith@horizontech.com,2020-10-10,Senior Backend Developer,1.0,18.0,Active,"Austin, TX",93479
150,Charles,Ware,charles.ware@horizontech.com,2018-08-17,Junior DevOps Engineer,1.0,18.0,Active,"Austin, TX",53737
151,Rebecca,Gardner,rebecca.gardner@horizontech.com,2020-02-26,Junior QA Engineer,1.0,18.0,Active,"Boston, MA",53543
152,Mary,Aguilar,mary.aguilar@horizontech.com,2024-04-16,Senior Backend Developer,1.0,18.0,Active,"Austin, TX",92309
153,Earl,Anderson,earl.anderson@horizontech.com,2018-08-10,Junior Frontend Developer,1.0,18.0,Active,"Austin, TX",49666
154,Kyle,Nolan,kyle.nolan@horizontech.com,2020-05-04,Mid-level DevOps Engineer,1.0,18.0,Active,"Austin, TX",71161
155,Laura,Valencia,laura.valencia@horizontech.com,2023-05-27,Junior Engineering Specialist,1.0,18.0,Active,"New York, NY",53721
156,Rachel,Clark,rachel.clark@horizontech.com,2021-06-03,Junior QA Engineer,1.0,18.0,Active,"Austin, TX",49523
157,John,Garcia,john.garcia@horizontech.com,2019-03-22,Mid-level Software Engineer,1.0,18.0,Active,"San Francisco, CA",79328
158,Kimberly,Henson,kimberly.henson@horizontech.com,2022-03-24,Director of Engineering,1.0,7.0,Active,"Austin, TX",170528
159,Richard,Oliver,richard.oliver@horizontech.com,2018-10-02,Mid-level Backend Developer,1.0,18.0,Active,"Boston, MA",64043
160,Eric,Spears,eric.spears@horizontech.com,2018-07-13,Junior Engineering Specialist,1.0,18.0,Active,"Austin, TX",55235
161,Michelle,Cherry,michelle.cherry@horizontech.com,2019-08-02,Junior DevOps Engineer,1.0,18.0,Active,"Austin, TX",48438
162,Lisa,Keith,lisa.keith@horizontech.com,2022-06-09,Mid-level Software Engineer,1.0,18.0,Active,"Austin, TX",73935
163,Angel,Doyle,angel.doyle@horizontech.com,2020-02-20,Engineering Team Lead,1.0,18.0,Leave,"Austin, TX",107723
164,Martin,Galvan,martin.galvan@horizontech.com,2021-10-19,VP of Engineering,1.0,18.0,Active,"Boston, MA",223586
165,Leah,Shields,leah.shields@horizontech.com,2022-10-01,Junior QA Engineer,1.0,18.0,Active,"Austin, TX",56514
166,Lisa,Adams,lisa.adams@horizontech.com,2021-01-09,Junior Frontend Developer,1.0,18.0,Active,"New York, NY",54219
167,Kristin,Rodriguez,kristin.rodriguez@horizontech.com,2025-01-13,Junior Backend Developer,1.0,18.0,Active,"New York, NY",55925
168,Monica,Garrison,monica.garrison@horizontech.com,2018-10-06,Junior Frontend Developer,1.0,18.0,Active,"Austin, TX",60403
169,Jeffrey,Velasquez,jeffrey.velasquez@horizontech.com,2019-01-28,Mid-level QA Engineer,1.0,18.0,Active,"Austin, TX",68773
170,Steven,Torres,steven.torres@horizontech.com,2023-10-19,Senior DevOps Engineer,1.0,18.0,Active,"Seattle, WA",84975
171,Laura,Perez,laura.perez@horizontech.com,2023-06-17,Mid-level Backend Developer,1.0,18.0,Active,"Austin, TX",65552
172,Andrew,Lee,andrew.lee@horizontech.com,2021-05-01,Senior Frontend Developer,1.0,18.0,Active,"Boston, MA",84561
173,Mark,Lin,mark.lin@horizontech.com,2023-07-08,Junior DevOps Engineer,1.0,18.0,Active,"San Francisco, CA",52178
174,Tammy,Ramirez,tammy.ramirez@horizontech.com,2021-12-01,Mid-level Software Engineer,1.0,18.0,Active,"Austin, TX",71705
175,Darlene,Ross,darlene.ross@horizontech.com,2021-06-06,VP of Product Management,2.0,8.0,Active,"San Francisco, CA",245533
176,Tina,Herrera,tina.herrera@horizontech.com,2024-09-10,Product Management Team Lead,2.0,8.0,Active,"San Francisco, CA",105514
177,Sheila,Wilson,sheila.wilson@horizontech.com,2023-11-05,VP of Product Management,2.0,176.0,Active,"San Francisco, CA",240260
178,Tara,White,tara.white@horizontech.com,2022-04-13,Director of Product Management,2.0,8.0,Active,"San Francisco, CA",181957
179,Sydney,Baker,sydney.baker@horizontech.com,2021-05-26,Senior Product Management Specialist,2.0,176.0,Active,"San Francisco, CA",88235
180,Daniel,Hamilton,daniel.hamilton@horizontech.com,2019-04-06,Director of Product Management,2.0,8.0,Active,"San Francisco, CA",196735
181,Jessica,Edwards,jessica.edwards@horizontech.com,2020-12-30,Senior Product Management Specialist,2.0,176.0,Active,"San Francisco, CA",94171
182,Catherine,Dixon,catherine.dixon@horizontech.com,2023-04-30,Product Management Team Lead,2.0,8.0,Active,"San Francisco, CA",94285
183,Paul,Ray,paul.ray@horizontech.com,2022-11-02,Director of Product Management,2.0,8.0,Active,"San Francisco, CA",152506
184,Jonathan,Fletcher,jonathan.fletcher@horizontech.com,2022-06-10,Senior Product Management Specialist,2.0,176.0,Active,"San Francisco, CA",93216
185,Aaron,Frost,aaron.frost@horizontech.com,2024-06-22,Product Management Team Lead,2.0,8.0,Active,"San Francisco, CA",98510
186,Amanda,Ball,amanda.ball@horizontech.com,2021-09-27,Product Management Manager,2.0,178.0,Active,"San Francisco, CA",120950
187,Judy,Lambert,judy.lambert@horizontech.com,2021-11-03,Director of Product Management,2.0,8.0,Active,"San Francisco, CA",170521
188,Michael,Jones,michael.jones@horizontech.com,2020-05-18,Junior Product Management Specialist,2.0,176.0,Active,"San Francisco, CA",52196
189,Elizabeth,Rivera,elizabeth.rivera@horizontech.com,2024-11-29,Product Management Manager,2.0,178.0,Leave,"San Francisco, CA",107943
190,Lee,Charles,lee.charles@horizontech.com,2019-06-06,Product Management Manager,2.0,178.0,Active,"San Francisco, CA",102376
191,Jennifer,Evans,jennifer.evans@horizontech.com,2020-04-24,Product Management Manager,2.0,178.0,Active,"San Francisco, CA",111279
192,Kyle,Ortiz,kyle.ortiz@horizontech.com,2021-05-18,Director of Product Management,2.0,8.0,Active,"San Francisco, CA",174991
193,Richard,Phillips,richard.phillips@horizontech.com,2019-09-20,Product Management Manager,2.0,178.0,Active,"New York, NY",116784
194,David,Fisher,david.fisher@horizontech.com,2018-06-10,VP of Product Management,2.0,176.0,Active,"San Francisco, CA",215085
195,Shelby,Byrd,shelby.byrd@horizontech.com,2022-02-14,Product Management Team Lead,2.0,186.0,Active,"San Francisco, CA",101154
196,Raven,Gilbert,raven.gilbert@horizontech.com,2023-08-29,Junior Product Management Specialist,2.0,176.0,Active,"San Francisco, CA",54105
197,Kevin,Kelley,kevin.kelley@horizontech.com,2019-02-18,Product Management Team Lead,2.0,186.0,Active,"San Francisco, CA",94107
198,Aaron,Mitchell,aaron.mitchell@horizontech.com,2019-12-23,Director of Product Management,2.0,8.0,Active,"Boston, MA",166793
199,Russell,Carpenter,russell.carpenter@horizontech.com,2021-01-31,VP of Product Management,2.0,176.0,Active,"New York, NY",241164
200,Diana,Marshall,diana.marshall@horizontech.com,2024-12-26,Senior Product Management Specialist,2.0,176.0,Active,"San Francisco, CA",82380
201,Scott,Lewis,scott.lewis@horizontech.com,2022-07-27,Senior Product Management Specialist,2.0,176.0,Active,"San Francisco, CA",92385
202,Thomas,Santana,thomas.santana@horizontech.com,2024-11-25,Junior Product Management Specialist,2.0,176.0,Terminated,"San Francisco, CA",54836
203,Laura,Jackson,laura.jackson@horizontech.com,2018-12-23,Senior Product Management Specialist,2.0,176.0,Active,"San Francisco, CA",97220
204,Christopher,Robertson,christopher.robertson@horizontech.com,2020-08-19,Junior Product Management Specialist,2.0,176.0,Active,"San Francisco, CA",56890
205,Cynthia,Rogers,cynthia.rogers@horizontech.com,2020-01-24,VP of Product Management,2.0,176.0,Active,"San Francisco, CA",212446
206,Loretta,Potter,loretta.potter@horizontech.com,2018-05-01,Director of Product Management,2.0,8.0,Active,"San Francisco, CA",154058
207,Emily,Walker,emily.walker@horizontech.com,2021-07-26,Product Management Team Lead,2.0,186.0,Active,"San Francisco, CA",103433
208,James,Johnson,james.johnson@horizontech.com,2023-05-24,Product Management Manager,2.0,178.0,Active,"San Francisco, CA",119281
209,John,Alvarez,john.alvarez@horizontech.com,2024-11-30,Product Management Manager,2.0,178.0,Active,"Boston, MA",119292
210,Melissa,Jones,melissa.jones@horizontech.com,2019-08-04,Product Management Team Lead,2.0,186.0,Active,"San Francisco, CA",125684
211,Robert,Soto,robert.soto@horizontech.com,2019-11-24,Product Management Manager,2.0,178.0,Active,"San Francisco, CA",119757
212,James,Horton,james.horton@horizontech.com,2024-12-22,Product Management Manager,2.0,178.0,Active,"San Francisco, CA",124463
